signal_date,stock_code,stock_name,rank,rule_score,buy_price,sell_date,sell_price,hold_days,pnl_ratio,status,stop_loss_triggered,exit_reason,market_score
2025-07-24,001277,速达股份,2,78.5590775513177,47.5,2025-07-25,46.074999999999996,1,-0.03000000000000009,CLOSED,1,t1_intraday_stop_loss,60
2025-07-24,000661,长春高新,3,77.33816275591128,104.98,2025-07-25,103.75,1,-0.011716517431891827,CLOSED,0,t1_close_exit,60
2025-07-24,603776,永安行,4,77.09349854649271,21.06,2025-07-25,21.98,1,0.0436847103513771,CLOSED,0,t1_close_exit,60
2025-07-24,603338,浙江鼎力,5,76.91893919470326,52.29,2025-07-25,53.28,1,0.01893287435456114,CLOSED,0,t1_close_exit,60
2025-07-25,603297,永新光学,1,81.38262307182579,90.32,2025-07-28,89.15,1,-0.012953941541186753,CLOSED,0,t1_close_exit,60
2025-07-25,603567,珍宝岛,2,78.90993954996753,12.30975732,2025-07-28,12.52710456,1,0.01765650080256826,CLOSED,0,t1_close_exit,60
2025-07-25,600486,扬农化工,3,78.0727639416789,67.9230605,2025-07-28,69.268565,1,0.019809244314013055,CLOSED,0,t1_close_exit,60
2025-07-25,603800,洪田股份,4,77.83684491842888,28.18,2025-07-28,29.55,1,0.048616039744499684,CLOSED,0,t1_close_exit,60
2025-07-25,603215,比依股份,5,76.95975995500267,19.15,2025-07-28,18.89,1,-0.013577023498694414,CLOSED,0,t1_close_exit,60
2025-07-28,003033,征和工业,1,81.96118462231077,45.0883645,2025-07-29,43.735713565,1,-0.029999999999999995,CLOSED,1,t1_intraday_stop_loss,60
2025-07-28,000988,华工科技,2,80.6800392495565,50.42,2025-07-29,51.45,1,0.020428401428004783,CLOSED,0,t1_close_exit,60
2025-07-28,002829,星网宇达,3,80.24611393450715,21.83,2025-07-29,21.61,1,-0.010077874484654095,CLOSED,0,t1_close_exit,60
2025-07-28,002741,光华科技,4,78.51658232174537,20.16,2025-07-29,20.17,1,0.0004960317460318235,CLOSED,0,t1_close_exit,60
2025-07-28,603848,好太太,5,76.8748153128348,18.44,2025-07-29,17.8868,1,-0.030000000000000016,CLOSED,1,t1_intraday_stop_loss,60
2025-07-29,600276,恒瑞医药,1,81.43933061472528,63.8,2025-07-30,63.59,1,-0.003291536050156642,CLOSED,0,t1_close_exit,60
2025-07-29,002913,奥士康,2,80.34582626559886,38.0,2025-07-30,40.36,1,0.06210526315789472,CLOSED,0,t1_close_exit,60
2025-07-29,002907,华森制药,3,76.60157659915596,18.47842194,2025-07-30,17.9240692818,1,-0.02999999999999995,CLOSED,1,t1_intraday_stop_loss,60
2025-07-29,000801,四川九洲,4,76.3767793004209,15.94,2025-07-30,16.29,1,0.021957340025094082,CLOSED,0,t1_close_exit,60
