signal_date,market_score,pick_count,closed_count,day_return,cum_nav,day_type,filter_detail,skipped_count
2025-09-10,50,5,5,0.08190388018126367,0.7454327922687648,signal,,0.0
2025-09-11,95,4,4,-0.02985971948802493,0.7231743781944443,signal,,0.0
2025-09-12,68,5,5,0.0249992791746445,0.7412532163668771,signal,,0.0
2025-09-15,71,2,2,0.05906753765667004,0.7850372186377554,signal,,0.0
2025-09-16,74,5,5,-0.0024627160409846304,0.7831038948866463,signal,,0.0
2025-09-17,71,3,3,-0.05249129422522245,0.7419977579312337,signal,,0.0
2025-09-18,59,4,3,-0.06895910242741453,0.6908302585411418,signal,,1.0
2025-09-19,54,5,5,-0.017474387432928333,0.6787584229530038,signal,,0.0
2025-09-22,70,5,5,-0.04551649624204261,0.6478637177454086,signal,,0.0
2025-09-23,54,0,0,,,fused,"{'index_ret_20d': -0.00914843869437254, 'market_limit_up_count': 54, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-09-24,80,5,4,0.009611393859299844,0.6540905911038101,signal,,1.0
2025-09-25,43,0,0,,,fused,"{'index_ret_20d': 0.007976517065009014, 'market_limit_up_count': 43, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-09-26,48,0,0,,,fused,"{'index_ret_20d': -0.005523562859363285, 'market_limit_up_count': 48, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-09-29,56,0,0,,,fused,"{'index_ret_20d': -0.000442198980742714, 'market_limit_up_count': 56, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-09-30,53,5,5,0.01621180109224831,0.6646945776630961,signal,,0.0
2025-10-09,97,3,3,-0.008538404940679497,0.6590191461971348,signal,,0.0
2025-10-10,60,5,4,-0.004214796705975488,0.6562415144705683,signal,,1.0
2025-10-13,68,3,2,-0.11891902282415454,0.578201914833085,signal,,1.0
2025-10-14,38,0,0,,,fused,"{'index_ret_20d': 0.00849647259197539, 'market_limit_up_count': 38, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-10-15,70,4,4,-0.022974173492503087,0.5649182037280123,signal,,0.0
2025-10-16,40,0,0,,,fused,"{'index_ret_20d': 0.02374356999726701, 'market_limit_up_count': 40, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-10-17,37,0,0,,,fused,"{'index_ret_20d': -0.02897436919627805, 'market_limit_up_count': 37, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-10-20,80,0,0,,,fused,"{'index_ret_20d': -0.024747658726715915, 'market_limit_up_count': 80, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
