signal_date,stock_code,stock_name,rank,board_score,board_streak,signal_close,t1_date,t2_date,buy_price,sell_date,sell_price,hold_days,ride_days,pnl_ratio,status,exit_reason,market_score,index_ret_20d,market_limit_up_count,concept_limit_up_count
2025-09-01,002074,国轩高科,2,76.5,2,40.12,2025-09-02,2025-09-03,41.506499999999996,2025-09-03,42.04,2,0,0.012853408502282865,CLOSED,t2_close_exit,108,0.11298050030164575,108,0
2025-09-01,605288,凯迪股份,5,76.5,2,86.8,2025-09-02,2025-09-03,87.43499999999999,2025-09-03,96.77,2,0,0.10676502544747538,CLOSED,t2_close_exit,108,0.11298050030164575,108,0
2025-09-02,605288,凯迪股份,1,80.0,3,95.48,2025-09-03,2025-09-04,100.28895,2025-09-04,96.18,2,0,-0.040971113966194614,CLOSED,t2_close_exit,51,0.07755469223412925,51,0
2025-09-02,000661,长春高新,2,76.5,2,124.71,2025-09-03,2025-09-04,126.76064999999998,2025-09-04,119.04,2,0,-0.06090730838000577,CLOSED,t2_close_exit,51,0.07755469223412925,51,0
2025-09-02,000564,供销大集,4,67.75,1,2.68,2025-09-03,2025-09-04,2.6330999999999998,2025-09-04,2.77,2,0,0.051991948653678274,CLOSED,t2_close_exit,51,0.07755469223412925,51,0
2025-09-05,000636,风华高科,1,67.75,1,15.57,2025-09-08,2025-09-09,15.56745,2025-09-09,14.79,2,0,-0.04994074173997668,CLOSED,t2_close_exit,103,0.0595977262789682,103,3
2025-09-08,600376,首开股份,1,80.0,4,3.86,2025-09-09,2025-09-10,4.15065,2025-09-10,4.68,2,0,0.12753424162480576,CLOSED,t2_close_exit,73,0.052865831012003595,73,0
2025-09-08,600977,中国电影,2,76.5,2,16.52,2025-09-09,2025-09-10,17.296049999999997,2025-09-10,17.71,2,0,0.023933210183828296,CLOSED,t2_close_exit,73,0.052865831012003595,73,0
2025-09-08,000926,福星股份,3,67.75,1,3.16,2025-09-09,2025-09-10,3.1757999999999997,2025-09-10,3.32,2,0,0.04540588198249264,CLOSED,t2_close_exit,73,0.052865831012003595,73,0
2025-09-08,000980,众泰汽车,4,67.75,1,2.94,2025-09-09,2025-09-10,3.0551999999999997,2025-09-10,3.28,2,0,0.07357947106572406,CLOSED,t2_close_exit,73,0.052865831012003595,73,0
2025-09-08,001226,拓山重工,5,67.75,1,40.63,2025-09-09,2025-09-10,40.53164999999999,2025-09-10,39.0,2,0,-0.03778898712487629,CLOSED,t2_close_exit,73,0.052865831012003595,73,0
2025-09-09,605298,必得科技,1,80.0,3,43.92,2025-09-10,2025-09-11,45.235049999999994,2025-09-11,41.3,2,0,-0.08699117166887176,CLOSED,t2_close_exit,55,0.037684040650748596,55,0
2025-09-09,000980,众泰汽车,2,76.5,2,3.23,2025-09-10,2025-09-11,3.2159999999999997,2025-09-11,3.39,2,0,0.05410447761194042,CLOSED,t2_close_exit,55,0.037684040650748596,55,0
2025-09-09,003036,泰坦股份,3,70.295882502,2,20.24,2025-09-10,2025-09-11,21.607499999999998,2025-09-11,18.24,2,0,-0.15584866365845193,CLOSED,t2_close_exit,55,0.037684040650748596,55,0
2025-09-09,000017,深中华A,4,67.75,1,7.5,2025-09-10,2025-09-11,7.336499999999999,2025-09-11,7.13,2,0,-0.02814693655012598,CLOSED,t2_close_exit,55,0.037684040650748596,55,0
2025-09-10,600376,首开股份,1,80.0,6,4.68,2025-09-11,2025-09-12,4.783799999999999,2025-09-12,5.51,2,0,0.15180400518416332,CLOSED,t2_close_exit,50,0.023474824378348913,50,0
2025-09-10,000718,苏宁环球,2,76.5,2,2.70698848,2025-09-11,2025-09-12,2.8595282687999997,2025-09-12,3.27012112,2,0,0.1435876174682147,CLOSED,t2_close_exit,50,0.023474824378348913,50,0
2025-09-10,603101,汇嘉时代,3,76.5,2,13.2754944,2025-09-11,2025-09-12,13.133405124,2025-09-12,12.9989216,2,0,-0.010239806259706772,CLOSED,t2_close_exit,50,0.023474824378348913,50,0
2025-09-10,603516,淳中科技,4,76.5,2,124.63,2025-09-11,2025-09-12,129.93644999999998,2025-09-12,150.8,2,0,0.16056733887989116,CLOSED,t2_close_exit,50,0.023474824378348913,50,5
2025-09-10,000061,农 产 品,5,67.75,1,9.28,2025-09-11,2025-09-12,9.6078,2025-09-12,9.26,2,0,-0.036199754366244036,CLOSED,t2_close_exit,50,0.023474824378348913,50,0
